Replicate,Mosq.strain,days post inf, num mosq,testing net,typ fung strain,testingtime sec,landtime sec,flighttime sec,num flight,num landing
1,An.coluzzii,5,1,contr_le,ctrl,300,161,139,3,4
1,An.coluzzii,5,2,contr_le,ctrl,300,176,124,3,2
1,An.coluzzii,5,3,contr_le,ctrl,300,199,101,3,3
1,An.coluzzii,5,4,contr_le,ctrl,300,165,135,5,4
1,An.coluzzii,5,5,contr_le,ctrl,300,213,87,3,3
1,An.coluzzii,5,1,contr_le,RFP,300,226,74,3,2
1,An.coluzzii,5,2,contr_le,RFP,300,215,85,3,4
1,An.coluzzii,5,3,contr_le,RFP,300,197,103,2,2
1,An.coluzzii,5,4,contr_le,RFP,300,227,73,2,4
1,An.coluzzii,5,5,contr_le,RFP,300,230,70,3,3
1,An.coluzzii,5,1,contr_le,Hybrid,300,287,13,3,3
1,An.coluzzii,5,2,contr_le,Hybrid,300,300,0,0,1
1,An.coluzzii,5,3,contr_le,Hybrid,300,292,8,2,3
1,An.coluzzii,5,4,contr_le,Hybrid,300,289,11,3,3
1,An.coluzzii,5,5,contr_le,Hybrid,300,300,0,0,1
1,An.coluzzii,5,1,trait_e,ctrl,300,98,202,6,5
1,An.coluzzii,5,2,trait_e,ctrl,300,118,182,4,5
1,An.coluzzii,5,3,trait_e,ctrl,300,126,174,4,4
1,An.coluzzii,5,4,trait_e,ctrl,300,84,216,4,5
1,An.coluzzii,5,5,trait_e,ctrl,300,95,205,8,7
1,An.coluzzii,5,1,trait_e,RFP,300,214,86,6,5
1,An.coluzzii,5,2,trait_e,RFP,300,223,77,5,6
1,An.coluzzii,5,3,trait_e,RFP,300,176,124,7,8
1,An.coluzzii,5,4,trait_e,RFP,300,185,115,4,3
1,An.coluzzii,5,5,trait_e,RFP,300,202,98,5,4
1,An.coluzzii,5,1,trait_e,Hybrid,300,281,19,4,3
1,An.coluzzii,5,2,trait_e,Hybrid,300,297,3,2,1
1,An.coluzzii,5,3,trait_e,Hybrid,300,288,12,4,3
1,An.coluzzii,5,4,trait_e,Hybrid,300,277,23,3,3
1,An.coluzzii,5,5,trait_e,Hybrid,300,282,18,3,3
2,An.coluzzii,5,1,ctrl,contr_le,300,158,142,2,2
2,An.coluzzii,5,2,ctrl,contr_le,300,197,103,3,3
2,An.coluzzii,5,3,ctrl,contr_le,300,154,146,2,2
2,An.coluzzii,5,4,ctrl,contr_le,300,226,74,4,1
2,An.coluzzii,5,5,ctrl,contr_le,300,222,78,3,3
2,An.coluzzii,5,1,ctrl,RFP,300,208,92,2,2
2,An.coluzzii,5,2,ctrl,RFP,300,206,94,2,4
2,An.coluzzii,5,3,ctrl,RFP,300,229,71,3,4
