Day,Day post_inf,RFP 1,RFP 2,RFP 3,RFP 4,Hybrid1,Hybrid 2,Hybrid 3,Hybrid 4,Perm1,Perm2,Perm3,Perm4,Ctrl_RFP1,Ctrl_RFP2,Ctrl_RFP3,Ctrl_RFP4,Ctrl_Hyb1,Ctrl_Hyb2,Ctrl_Hyb3,Ctrl_Hyb4,Ctrl_Perm1,Ctrl_Perm2,Ctrl_Perm3,Ctrl_Perm4,Species
0,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
0.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
1,1 day,9,5,6,10,9,7,5,6,7,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
1.5,1 day,0,0,0,0,3,3,0,1,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,An.coluzzii
2,1 day,0,1,4,4,0,1,1,2,0,0,0,0,0,1,3,1,0,4,2,0,0,0,0,0,An.coluzzii
2.5,1 day,1,5,1,0,0,1,3,1,0,0,0,2,0,0,2,0,2,3,1,4,0,0,0,0,An.coluzzii
3,1 day,2,0,0,0,7,1,1,2,0,0,0,0,3,2,2,0,4,2,3,4,0,0,0,0,An.coluzzii
3.5,1 day,0,1,0,2,2,1,7,2,0,0,0,0,1,4,1,4,4,3,2,1,0,0,0,0,An.coluzzii
4,1 day,1,1,2,0,0,3,1,1,0,0,0,0,1,4,1,1,1,3,6,6,1,0,0,1,An.coluzzii
4.5,1 day,0,0,1,0,3,3,2,2,1,0,0,0,1,1,4,2,6,3,3,1,0,0,0,0,An.coluzzii
5,1 day,2,2,0,2,1,1,1,3,0,0,0,0,4,1,0,1,5,4,4,5,0,0,0,0,An.coluzzii
5.5,1 day,2,1,1,2,0,1,2,4,0,0,0,0,4,1,1,2,1,1,5,0,0,0,0,0,An.coluzzii
6,1 day,2,1,2,0,1,2,0,1,0,0,0,0,3,2,2,4,1,1,0,0,0,0,0,0,An.coluzzii
6.5,1 day,1,0,2,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,An.coluzzii
7,1 day,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,3,1,3,0,0,0,0,An.coluzzii
7.5,1 day,0,1,2,1,0,1,3,2,0,0,0,0,2,1,1,3,0,0,1,1,0,0,0,0,An.coluzzii
8,1 day,0,3,0,2,0,1,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,An.coluzzii
8.5,1 day,2,2,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,An.coluzzii
9,1 day,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,An.coluzzii
9.5,1 day,0,1,1,1,0,1,1,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,An.coluzzii
10,1 day,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,An.coluzzii
10.5,1 day,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,An.coluzzii
11,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,An.coluzzii
11.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,An.coluzzii
12,1 day,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,An.coluzzii
12.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,An.coluzzii
13,1 day,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,An.coluzzii
13.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
14,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,An.coluzzii
Alive,1 day,0,1,0,0,0,0,0,0,19,22,24,23,1,0,2,0,0,0,0,0,26,29,28,28,An.coluzzii
0,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
0.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
