Day,Replicate,Mosq.species,Met_RFP,Met_Hyb,Ctrl_Fung,Ctrl_Pyr,Perm,Delta
0,Replicate1,An.coluzzii,0,0,0,0,0,0
0.5,Replicate1,An.coluzzii,0,0,0,0,0,0
1,Replicate1,An.coluzzii,0,0,0,0,4,4
1.5,Replicate1,An.coluzzii,0,0,0,0,0,0
2,Replicate1,An.coluzzii,0,1,0,0,0,0
2.5,Replicate1,An.coluzzii,1,5,0,0,0,0
3,Replicate1,An.coluzzii,2,7,0,0,0,0
3.5,Replicate1,An.coluzzii,2,6,0,0,0,0
4,Replicate1,An.coluzzii,5,1,0,0,0,0
4.5,Replicate1,An.coluzzii,2,3,0,0,0,0
5,Replicate1,An.coluzzii,0,1,0,0,0,0
5.5,Replicate1,An.coluzzii,1,0,0,0,0,0
6,Replicate1,An.coluzzii,0,1,0,0,0,0
6.5,Replicate1,An.coluzzii,0,1,0,0,0,0
7,Replicate1,An.coluzzii,3,0,0,0,0,0
7.5,Replicate1,An.coluzzii,4,0,0,0,0,1
8,Replicate1,An.coluzzii,2,0,1,0,0,0
8.5,Replicate1,An.coluzzii,2,0,0,0,0,0
9,Replicate1,An.coluzzii,1,0,0,0,0,0
9.5,Replicate1,An.coluzzii,2,0,0,0,0,0
10,Replicate1,An.coluzzii,0,0,0,0,0,0
10.5,Replicate1,An.coluzzii,0,0,0,0,0,0
11,Replicate1,An.coluzzii,0,0,0,0,0,0
11.5,Replicate1,An.coluzzii,0,0,0,0,0,0
12,Replicate1,An.coluzzii,0,0,0,0,0,0
12.5,Replicate1,An.coluzzii,0,0,0,0,0,0
13,Replicate1,An.coluzzii,0,0,0,0,0,0
13.5,Replicate1,An.coluzzii,0,0,0,0,0,0
14,Replicate1,An.coluzzii,0,0,0,0,0,0
Alive,Replicate1,An.coluzzii,0,0,24,25,21,19
0,Replicate2,An.coluzzii,0,0,0,0,0,0
0.5,Replicate2,An.coluzzii,0,0,0,0,0,0
1,Replicate2,An.coluzzii,0,0,0,0,1,6
1.5,Replicate2,An.coluzzii,0,0,0,0,2,1
2,Replicate2,An.coluzzii,1,3,0,0,0,0
2.5,Replicate2,An.coluzzii,0,1,0,0,0,0
3,Replicate2,An.coluzzii,0,1,0,0,0,0
3.5,Replicate2,An.coluzzii,1,5,0,0,0,0
4,Replicate2,An.coluzzii,1,8,0,0,0,0
4.5,Replicate2,An.coluzzii,1,3,0,0,0,0
5,Replicate2,An.coluzzii,2,0,0,0,0,0
5.5,Replicate2,An.coluzzii,5,1,0,0,0,0
6,Replicate2,An.coluzzii,1,0,0,0,0,0
6.5,Replicate2,An.coluzzii,8,0,0,0,0,0
7,Replicate2,An.coluzzii,3,2,0,0,0,0
7.5,Replicate2,An.coluzzii,2,1,0,0,0,0
8,Replicate2,An.coluzzii,3,1,0,0,0,0
8.5,Replicate2,An.coluzzii,1,1,0,0,0,0
9,Replicate2,An.coluzzii,0,0,0,0,0,0
9.5,Replicate2,An.coluzzii,1,1,0,0,0,0
10,Replicate2,An.coluzzii,0,0,0,0,0,0
10.5,Replicate2,An.coluzzii,0,0,0,0,0,0
11,Replicate2,An.coluzzii,0,0,0,0,0,0
11.5,Replicate2,An.coluzzii,0,0,0,0,0,0
12,Replicate2,An.coluzzii,0,0,0,0,1,0
